Area Type,Area,NAICS,NAICS Title,Year,Establishments,Average Employment,Total Wage,Annual Average Salary                                                                                                                                                  
Labor Market Area,New York City Region,814,Private Households,2008,11748,15497,$441312491,$28477
Labor Market Area,New York City Region,953,Local Government,2008,119,451771,$23785490698,$52649
Labor Market Area,New York City Region,99,Unclassified,2008,6898,8848,$309523843,$34982
Labor Market Area,New York City Region,0,"Total, All Industries",2008,228494,3673669,$295282322788,$80378
Labor Market Area,New York City Region,1,"Total, All Private",2008,227854,3123969,$265259348482,$84911
Labor Market Area,New York City Region,95,"Total, All Government",2008,640,549700,$30022974306,$54617
Labor Market Area,New York City Region,951,Federal Government,2008,394,56003,$3784707573,$67580
Labor Market Area,New York City Region,952,State Government,2008,127,41926,$2452776035,$58503
Labor Market Area,New York City Region,11,"Agriculture, Forestry, Fishing & Hunting",2007,57,174,$6737542,$38722
Labor Market Area,New York City Region,111,Crop Production,2007,24,56,$1302523,$23259
Labor Market Area,New York City Region,112,Animal Production,2007,18,53,$1491670,$28145
Labor Market Area,New York City Region,115,Agriculture & Forestry Support Activity,2007,12,59,$3781916,$64100
Labor Market Area,New York City Region,21,Mining,2007,16,63,$6640698,$105408
Labor Market Area,New York City Region,211,Oil and Gas Extraction,2007,3,15,$3949064,$263271
Labor Market Area,New York City Region,212,Mining (except Oil and Gas),2007,9,32,$1939602,$60613
Labor Market Area,New York City Region,213,Support Activities for Mining,2007,4,17,$752032,$44237
Labor Market Area,New York City Region,22,Utilities,2007,51,15355,$1449372375,$94391
Labor Market Area,New York City Region,221,Utilities,2007,51,15355,$1449372375,$94391
Labor Market Area,New York City Region,23,Construction,2007,12543,124278,$8072673516,$64957
Labor Market Area,New York City Region,236,Construction of Buildings,2007,4881,33632,$2213017165,$65801
Labor Market Area,New York City Region,237,Heavy and Civil Engineering Construction,2007,362,7633,$663938320,$86983
Labor Market Area,New York City Region,238,Specialty Trade Contractors,2007,7300,83013,$5195718031,$62589
Labor Market Area,New York City Region,31,Manufacturing,2007,7032,100722,$5308712636,$52707
Labor Market Area,New York City Region,311,Food Manufacturing,2007,919,14389,$474319725,$32964
Labor Market Area,New York City Region,312,Beverage & Tobacco Product Manufacturing,2007,36,874,$347202678,$397257
Labor Market Area,New York City Region,313,Textile Mills,2007,239,2241,$162690673,$72597
Labor Market Area,New York City Region,314,Textile Product Mills,2007,187,1599,$80091515,$50089
Labor Market Area,New York City Region,315,Apparel Manufacturing,2007,1562,23376,$1142863770,$48890
Labor Market Area,New York City Region,316,Leather and Allied Product Manufacturing,2007,80,708,$29956138,$42311
Labor Market Area,New York City Region,321,Wood Product Manufacturing,2007,90,1082,$51161611,$47284
Labor Market Area,New York City Region,322,Paper Manufacturing,2007,80,2557,$126914257,$49634
Labor Market Area,New York City Region,323,Printing and Related Support Activities,2007,899,10376,$605260732,$58333
Labor Market Area,New York City Region,324,Petroleum & Coal Products Manufacturing,2007,8,84,$5550086,$66072
Labor Market Area,New York City Region,325,Chemical Manufacturing,2007,134,4026,$364807442,$90613
Labor Market Area,New York City Region,326,Plastics & Rubber Products Manufacturing,2007,97,2070,$67789037,$32748
Labor Market Area,New York City Region,327,Nonmetallic Mineral Product Mfg,2007,141,2042,$105554390,$51692
Labor Market Area,New York City Region,331,Primary Metal Manufacturing,2007,46,477,$24149460,$50628
Labor Market Area,New York City Region,332,Fabricated Metal Product Manufacturing,2007,461,7754,$352976807,$45522
Labor Market Area,New York City Region,333,Machinery Manufacturing,2007,122,2085,$96614514,$46338
Labor Market Area,New York City Region,334,Computer and Electronic Product Mfg,2007,151,3344,$196194893,$58671
Labor Market Area,New York City Region,335,Electrical Equipment and Appliances,2007,82,2105,$153232801,$72795
Labor Market Area,New York City Region,336,Transportation Equipment Manufacturing,2007,64,2034,$129134868,$63488
Labor Market Area,New York City Region,337,Furniture and Related Product Mfg,2007,469,4386,$175823373,$40087
Labor Market Area,New York City Region,339,Miscellaneous Manufacturing,2007,1167,13115,$616423866,$47001
Labor Market Area,New York City Region,42,Wholesale Trade,2007,16483,140556,$10722168992,$76284
Labor Market Area,New York City Region,423,"Merchant Wholesalers, Durable Goods",2007,6626,55406,$3943990500,$71183
Labor Market Area,New York City Region,424,"Merchant Wholesalers, Nondurable Goods",2007,7317,72433,$5607745065,$77420
Labor Market Area,New York City Region,425,Electronic Markets and Agents/Brokers,2007,2541,12717,$1170433427,$92037
Labor Market Area,New York City Region,44,Retail Trade,2007,29302,293087,$10333628624,$35258
Labor Market Area,New York City Region,441,Motor Vehicle and Parts Dealers,2007,867,11559,$595802409,$51544
Labor Market Area,New York City Region,442,Furniture and Home Furnishings Stores,2007,1533,11157,$441720679,$39591
Labor Market Area,New York City Region,443,Electronics and Appliance Stores,2007,1357,13802,$646746496,$46859
Labor Market Area,New York City Region,444,Building Material & Garden Supply Stores,2007,1190,13851,$516855441,$37315
Labor Market Area,New York City Region,445,Food and Beverage Stores,2007,7607,60934,$1469180835,$24111
Labor Market Area,New York City Region,446,Health and Personal Care Stores,2007,3366,35265,$1405946685,$39868
Labor Market Area,New York City Region,447,Gasoline Stations,2007,621,2877,$61010069,$21206
Labor Market Area,New York City Region,448,Clothing and Clothing Accessories Stores,2007,6037,69566,$2502954821,$35980
Labor Market Area,New York City Region,451,Sporting Goods/Hobby/Book/Music Stores,2007,1495,14570,$353038043,$24230
Labor Market Area,New York City Region,452,General Merchandise Stores,2007,1051,31698,$885450638,$27934
Labor Market Area,New York City Region,453,Miscellaneous Store Retailers,2007,3391,18669,$873755760,$46802
Labor Market Area,New York City Region,454,Nonstore Retailers,2007,788,9139,$581166748,$63592
Labor Market Area,New York City Region,48,Transportation and Warehousing,2007,4504,106092,$4974680686,$46890
Labor Market Area,New York City Region,481,Air Transportation,2007,161,25639,$1618603618,$63131
Labor Market Area,New York City Region,483,Water Transportation,2007,47,1930,$169312556,$87727
Labor Market Area,New York City Region,484,Truck Transportation,2007,1035,9502,$391678613,$41221
Labor Market Area,New York City Region,485,Transit and Ground Passenger Transport,2007,1300,27002,$998964391,$36996
Labor Market Area,New York City Region,487,Scenic and Sightseeing Transportation,2007,61,1525,$48953509,$32101
Labor Market Area,New York City Region,488,Support Activities for Transportation,2007,1183,17608,$842755874,$47862
Labor Market Area,New York City Region,492,Couriers and Messengers,2007,561,19397,$751202358,$38728
Labor Market Area,New York City Region,493,Warehousing and Storage,2007,154,3465,$151619811,$43758
Labor Market Area,New York City Region,51,Information,2007,5556,155888,$15958066576,$102369
Labor Market Area,New York City Region,511,Publishing Industries,2007,1217,54051,$5656338301,$104648
Labor Market Area,New York City Region,512,Motion Picture & Sound Recording Ind,2007,2259,29479,$3127200318,$106082
Labor Market Area,New York City Region,515,Broadcasting (except Internet),2007,223,27472,$3011484702,$109620
Labor Market Area,New York City Region,517,Telecommunications,2007,957,24362,$2228180930,$91461
Labor Market Area,New York City Region,518,"ISPs, Search Portals, & Data Processing",2007,364,5397,$751071260,$139165
Labor Market Area,New York City Region,519,Other Information Services,2007,536,15127,$1183791065,$78257
Labor Market Area,New York City Region,52,Finance and Insurance,2007,11681,341430,$97712757426,$286187
Labor Market Area,New York City Region,522,Credit Intermediation & Related Activity,2007,3564,93052,$15326581635,$164710
Labor Market Area,New York City Region,523,Financial Investment & Related Activity,2007,5258,183999,$73875229128,$401498
Labor Market Area,New York City Region,524,Insurance Carriers & Related Activities,2007,2628,55690,$7286425818,$130839
Labor Market Area,New York City Region,525,"Funds, Trusts & Other Financial Vehicles",2007,229,6481,$975392539,$150500
Labor Market Area,New York City Region,53,Real Estate and Rental and Leasing,2007,20091,118878,$7383103492,$62107
Labor Market Area,New York City Region,531,Real Estate,2007,19107,107737,$6740455982,$62564
Labor Market Area,New York City Region,532,Rental and Leasing Services,2007,853,8858,$383215931,$43262
Labor Market Area,New York City Region,533,"Lessors, Nonfinancial Intangible Assets",2007,131,2283,$259431579,$113636
Labor Market Area,New York City Region,54,Professional and Technical Services,2007,25386,324256,$33573510229,$103540
Labor Market Area,New York City Region,541,Professional and Technical Services,2007,25386,324256,$33573510229,$103540
Labor Market Area,New York City Region,55,Management of Companies and Enterprises,2007,1174,57698,$10764669013,$186569
Labor Market Area,New York City Region,551,Management of Companies and Enterprises,2007,1174,57698,$10764669013,$186569
Labor Market Area,New York City Region,56,Administrative and Waste Services,2007,8681,189577,$8985087519,$47395
Labor Market Area,New York City Region,561,Administrative and Support Services,2007,8363,183176,$8661225434,$47284
Labor Market Area,New York City Region,562,Waste Management and Remediation Service,2007,318,6401,$323862085,$50596
Labor Market Area,New York City Region,61,Educational Services,2007,2933,130451,$6274587899,$48099
Labor Market Area,New York City Region,611,Educational Services,2007,2933,130451,$6274587899,$48099
Labor Market Area,New York City Region,62,Health Care and Social Assistance,2007,19365,545703,$24123407315,$44206
Labor Market Area,New York City Region,621,Ambulatory Health Care Services,2007,14290,157280,$7293045282,$46370
Labor Market Area,New York City Region,622,Hospitals,2007,87,157416,$9946219848,$63184
Labor Market Area,New York City Region,623,Nursing and Residential Care Facilities,2007,1177,74254,$2767999232,$37277
Labor Market Area,New York City Region,624,Social Assistance,2007,3811,156754,$4116142953,$26259
Labor Market Area,New York City Region,71,"Arts, Entertainment, and Recreation",2007,4684,63956,$3880637446,$60677
Labor Market Area,New York City Region,711,Performing Arts and Spectator Sports,2007,3537,32936,$2870732438,$87161
Labor Market Area,New York City Region,712,"Museums, Parks and Historical Sites",2007,221,11397,$527998727,$46328
Labor Market Area,New York City Region,713,"Amusement, Gambling & Recreation Ind",2007,926,19624,$481906281,$24557
Labor Market Area,New York City Region,72,Accommodation and Food Services,2007,15387,229886,$6510193496,$28319
Labor Market Area,New York City Region,721,Accommodation,2007,542,40938,$1997913676,$48803
Labor Market Area,New York City Region,722,Food Services and Drinking Places,2007,14845,188948,$4512279820,$23881
Labor Market Area,New York City Region,81,"Other Services, Ex. Public Admin",2007,29105,141477,$5709930238,$40359
Labor Market Area,New York City Region,811,Repair and Maintenance,2007,3392,14701,$481640638,$32762
Labor Market Area,New York City Region,812,Personal and Laundry Services,2007,8496,43120,$1223317312,$28370
Labor Market Area,New York City Region,813,Membership Organizations & Associations,2007,5808,66970,$3598489568,$53733
Labor Market Area,New York City Region,814,Private Households,2007,11409,16686,$406482720,$24361
Labor Market Area,New York City Region,953,Local Government,2007,118,449048,$23373988950,$52052
Labor Market Area,New York City Region,99,Unclassified,2007,10757,13819,$493179257,$35688
Labor Market Area,New York City Region,0,"Total, All Industries",2007,225422,3640055,$291539321322,$80092
Labor Market Area,New York City Region,1,"Total, All Private",2007,224785,3093343,$262243744975,$84777
Labor Market Area,New York City Region,95,"Total, All Government",2007,637,546712,$29295576347,$53585
Labor Market Area,New York City Region,951,Federal Government,2007,387,56263,$3671621276,$65258
Labor Market Area,New York City Region,952,State Government,2007,132,41401,$2249966121,$54346
Labor Market Area,New York City Region,11,"Agriculture, Forestry, Fishing & Hunting",2006,48,181,$6367639,$35180
Labor Market Area,New York City Region,111,Crop Production,2006,18,66,$1372127,$20790
Labor Market Area,New York City Region,112,Animal Production,2006,16,53,$1210051,$22831
Labor Market Area,New York City Region,115,Agriculture & Forestry Support Activity,2006,11,57,$3391521,$59500
Labor Market Area,New York City Region,21,Mining,2006,15,58,$5794040,$99897
Labor Market Area,New York City Region,211,Oil and Gas Extraction,2006,3,16,$3473113,$217070
Labor Market Area,New York City Region,212,Mining (except Oil and Gas),2006,8,27,$1721677,$63766
Labor Market Area,New York City Region,213,Support Activities for Mining,2006,3,15,$599250,$39950
Labor Market Area,New York City Region,22,Utilities,2006,47,15035,$1346177582,$89536
Labor Market Area,New York City Region,221,Utilities,2006,47,15035,$1346177582,$89536
Labor Market Area,New York City Region,23,Construction,2006,12091,114595,$6998631064,$61073
Labor Market Area,New York City Region,236,Construction of Buildings,2006,4628,29836,$1840653061,$61692
Labor Market Area,New York City Region,237,Heavy and Civil Engineering Construction,2006,326,7429,$597431212,$80419
Labor Market Area,New York City Region,238,Specialty Trade Contractors,2006,7137,77330,$4560546791,$58975
Labor Market Area,New York City Region,31,Manufacturing,2006,6914,105330,$5104663062,$48464
Labor Market Area,New York City Region,311,Food Manufacturing,2006,872,14223,$454581729,$31961
Labor Market Area,New York City Region,312,Beverage & Tobacco Product Manufacturing,2006,31,804,$154024385,$191573
Labor Market Area,New York City Region,313,Textile Mills,2006,246,2439,$170831196,$70041
Labor Market Area,New York City Region,314,Textile Product Mills,2006,148,1514,$68848436,$45475
Labor Market Area,New York City Region,315,Apparel Manufacturing,2006,1669,25241,$1125233224,$44580
Labor Market Area,New York City Region,316,Leather and Allied Product Manufacturing,2006,75,877,$36226023,$41307
Labor Market Area,New York City Region,321,Wood Product Manufacturing,2006,88,1033,$47276831,$45767
Labor Market Area,New York City Region,322,Paper Manufacturing,2006,85,2847,$139950799,$49157
Labor Market Area,New York City Region,323,Printing and Related Support Activities,2006,876,10723,$605266041,$56446
Labor Market Area,New York City Region,324,Petroleum & Coal Products Manufacturing,2006,7,84,$5906626,$70317
Labor Market Area,New York City Region,325,Chemical Manufacturing,2006,121,4521,$419518945,$92793
Labor Market Area,New York City Region,326,Plastics & Rubber Products Manufacturing,2006,98,2463,$77957254,$31651
Labor Market Area,New York City Region,327,Nonmetallic Mineral Product Mfg,2006,135,1948,$96529869,$49553
Labor Market Area,New York City Region,331,Primary Metal Manufacturing,2006,43,435,$19621203,$45106
Labor Market Area,New York City Region,332,Fabricated Metal Product Manufacturing,2006,445,7764,$331989623,$42760
Labor Market Area,New York City Region,333,Machinery Manufacturing,2006,122,2144,$93528445,$43623
Labor Market Area,New York City Region,334,Computer and Electronic Product Mfg,2006,133,3412,$202698706,$59408
Labor Market Area,New York City Region,335,Electrical Equipment and Appliances,2006,73,2207,$146056160,$66179
Labor Market Area,New York City Region,336,Transportation Equipment Manufacturing,2006,56,2061,$108638925,$52712
Labor Market Area,New York City Region,337,Furniture and Related Product Mfg,2006,455,4473,$170601062,$38140
Labor Market Area,New York City Region,339,Miscellaneous Manufacturing,2006,1136,14117,$629377580,$44583
Labor Market Area,New York City Region,42,Wholesale Trade,2006,15957,138086,$9913455406,$71792
Labor Market Area,New York City Region,423,"Merchant Wholesalers, Durable Goods",2006,6364,55325,$3732823114,$67471
Labor Market Area,New York City Region,424,"Merchant Wholesalers, Nondurable Goods",2006,6995,70932,$5180579280,$73036
Labor Market Area,New York City Region,425,Electronic Markets and Agents/Brokers,2006,2598,11829,$1000053012,$84542
Labor Market Area,New York City Region,44,Retail Trade,2006,28170,283204,$9586080062,$33849
Labor Market Area,New York City Region,441,Motor Vehicle and Parts Dealers,2006,844,11434,$570553906,$49900
Labor Market Area,New York City Region,442,Furniture and Home Furnishings Stores,2006,1448,10469,$399921595,$38201
Labor Market Area,New York City Region,443,Electronics and Appliance Stores,2006,1312,12605,$551122303,$43723
Labor Market Area,New York City Region,444,Building Material & Garden Supply Stores,2006,1149,13669,$485588227,$35525
Labor Market Area,New York City Region,445,Food and Beverage Stores,2006,7408,59443,$1384769985,$23296
Labor Market Area,New York City Region,446,Health and Personal Care Stores,2006,3235,33687,$1282942517,$38084
Labor Market Area,New York City Region,447,Gasoline Stations,2006,640,2992,$61369589,$20511
Labor Market Area,New York City Region,448,Clothing and Clothing Accessories Stores,2006,5650,67247,$2369504415,$35236
Labor Market Area,New York City Region,451,Sporting Goods/Hobby/Book/Music Stores,2006,1446,14245,$336126529,$23596
Labor Market Area,New York City Region,452,General Merchandise Stores,2006,1044,31124,$865678384,$27814
Labor Market Area,New York City Region,453,Miscellaneous Store Retailers,2006,3248,17664,$747348999,$42309
Labor Market Area,New York City Region,454,Nonstore Retailers,2006,748,8625,$531153613,$61583
Labor Market Area,New York City Region,48,Transportation and Warehousing,2006,4331,102779,$4539647043,$44169
Labor Market Area,New York City Region,481,Air Transportation,2006,158,24431,$1377951262,$56402
Labor Market Area,New York City Region,483,Water Transportation,2006,47,1607,$143449540,$89265
Labor Market Area,New York City Region,484,Truck Transportation,2006,991,9205,$369289274,$40118
Labor Market Area,New York City Region,485,Transit and Ground Passenger Transport,2006,1276,26170,$938751160,$35871
Labor Market Area,New York City Region,487,Scenic and Sightseeing Transportation,2006,63,1561,$46832660,$30002
Labor Market Area,New York City Region,488,Support Activities for Transportation,2006,1103,16822,$775242236,$46085
Labor Market Area,New York City Region,492,Couriers and Messengers,2006,541,19659,$740618265,$37673
Labor Market Area,New York City Region,493,Warehousing and Storage,2006,152,3306,$146234382,$44233
Labor Market Area,New York City Region,51,Information,2006,5280,153152,$15003176284,$97963
Labor Market Area,New York City Region,511,Publishing Industries,2006,1132,52737,$5297146325,$100445
Labor Market Area,New York City Region,512,Motion Picture & Sound Recording Ind,2006,2151,28788,$2922562042,$101520
Labor Market Area,New York City Region,515,Broadcasting (except Internet),2006,205,27037,$2940887276,$108773
Labor Market Area,New York City Region,516,Internet Publishing and Broadcasting,2006,191,2870,$291189757,$101460
Labor Market Area,New York City Region,517,Telecommunications,2006,795,23083,$2104414973,$91167
Labor Market Area,New York City Region,518,"ISPs, Search Portals, & Data Processing",2006,586,8171,$810033562,$99135
Labor Market Area,New York City Region,519,Other Information Services,2006,220,10465,$636942349,$60864
Labor Market Area,New York City Region,52,Finance and Insurance,2006,11045,331667,$80918081955,$243974
Labor Market Area,New York City Region,522,Credit Intermediation & Related Activity,2006,3397,92516,$13359332772,$144400
Labor Market Area,New York City Region,523,Financial Investment & Related Activity,2006,4818,175980,$59887328370,$340308
Labor Market Area,New York City Region,524,Insurance Carriers & Related Activities,2006,2616,54718,$6572765477,$120121
Labor Market Area,New York City Region,525,"Funds, Trusts & Other Financial Vehicles",2006,212,6280,$867155250,$138082
Labor Market Area,New York City Region,53,Real Estate and Rental and Leasing,2006,19643,116369,$6558492627,$56359
Labor Market Area,New York City Region,531,Real Estate,2006,18678,104934,$5964915030,$56844
Labor Market Area,New York City Region,532,Rental and Leasing Services,2006,842,9225,$375369544,$40690
Labor Market Area,New York City Region,533,"Lessors, Nonfinancial Intangible Assets",2006,123,2211,$218208053,$98692
Labor Market Area,New York City Region,54,Professional and Technical Services,2006,24212,308775,$30125987892,$97566
Labor Market Area,New York City Region,541,Professional and Technical Services,2006,24212,308775,$30125987892,$97566
Labor Market Area,New York City Region,55,Management of Companies and Enterprises,2006,1093,57055,$9377352715,$164356
Labor Market Area,New York City Region,551,Management of Companies and Enterprises,2006,1093,57055,$9377352715,$164356
Labor Market Area,New York City Region,56,Administrative and Waste Services,2006,7884,183600,$7928069231,$43181
Labor Market Area,New York City Region,561,Administrative and Support Services,2006,7589,177556,$7646922630,$43068
Labor Market Area,New York City Region,562,Waste Management and Remediation Service,2006,295,6043,$281146601,$46524
Labor Market Area,New York City Region,61,Educational Services,2006,2796,127328,$5874576501,$46137
Labor Market Area,New York City Region,611,Educational Services,2006,2796,127328,$5874576501,$46137
Labor Market Area,New York City Region,62,Health Care and Social Assistance,2006,18580,535350,$22893506200,$42764
Labor Market Area,New York City Region,621,Ambulatory Health Care Services,2006,13746,149202,$6796955510,$45555
Labor Market Area,New York City Region,622,Hospitals,2006,77,156676,$9428886600,$60181
Labor Market Area,New York City Region,623,Nursing and Residential Care Facilities,2006,1148,73705,$2664699308,$36154
Labor Market Area,New York City Region,624,Social Assistance,2006,3609,155767,$4002964782,$25698
Labor Market Area,New York City Region,71,"Arts, Entertainment, and Recreation",2006,4459,61494,$3818419187,$62094
Labor Market Area,New York City Region,711,Performing Arts and Spectator Sports,2006,3377,31723,$2880564751,$90804
Labor Market Area,New York City Region,712,"Museums, Parks and Historical Sites",2006,198,10872,$487478273,$44838
Labor Market Area,New York City Region,713,"Amusement, Gambling & Recreation Ind",2006,884,18898,$450376163,$23832
Labor Market Area,New York City Region,72,Accommodation and Food Services,2006,14674,217344,$5902307324,$27157
Labor Market Area,New York City Region,721,Accommodation,2006,501,38893,$1818154702,$46748
Labor Market Area,New York City Region,722,Food Services and Drinking Places,2006,14173,178451,$4084152622,$22887
Labor Market Area,New York City Region,81,"Other Services, Ex. Public Admin",2006,28059,137107,$5274327579,$38469
Labor Market Area,New York City Region,811,Repair and Maintenance,2006,3298,14436,$457754445,$31709
Labor Market Area,New York City Region,812,Personal and Laundry Services,2006,8055,41003,$1120073584,$27317
Labor Market Area,New York City Region,813,Membership Organizations & Associations,2006,5608,65578,$3325351703,$50708
Labor Market Area,New York City Region,814,Private Households,2006,11097,16090,$371147847,$23067
Labor Market Area,New York City Region,953,Local Government,2006,119,445598,$22638319509,$50804
Labor Market Area,New York City Region,99,Unclassified,2006,15759,21425,$758139641,$35386
Labor Market Area,New York City Region,0,"Total, All Industries",2006,221489,3553030,$260323642547,$73268
Labor Market Area,New York City Region,1,"Total, All Private",2006,221054,3009933,$231933253034,$77056
Labor Market Area,New York City Region,95,"Total, All Government",2006,435,543097,$28390389513,$52275
Labor Market Area,New York City Region,951,Federal Government,2006,185,56297,$3559837364,$63233
Labor Market Area,New York City Region,952,State Government,2006,131,41202,$2192232640,$53207
Labor Market Area,New York City Region,11,"Agriculture, Forestry, Fishing & Hunting",2005,44,171,$5521950,$32292
Labor Market Area,New York City Region,111,Crop Production,2005,17,65,$1250694,$19241
Labor Market Area,New York City Region,112,Animal Production,2005,14,42,$921665,$21944
Labor Market Area,New York City Region,115,Agriculture & Forestry Support Activity,2005,10,58,$2965020,$51121
Labor Market Area,New York City Region,21,Mining,2005,17,73,$8455885,$115834
Labor Market Area,New York City Region,211,Oil and Gas Extraction,2005,3,17,$4898771,$288163
Labor Market Area,New York City Region,212,Mining (except Oil and Gas),2005,10,48,$2130442,$44384
Labor Market Area,New York City Region,213,Support Activities for Mining,2005,4,8,$1426672,$178334
Labor Market Area,New York City Region,22,Utilities,2005,49,14703,$1255864585,$85416
Labor Market Area,New York City Region,221,Utilities,2005,49,14703,$1255864585,$85416
Labor Market Area,New York City Region,23,Construction,2005,11242,110004,$6414733180,$58314
Labor Market Area,New York City Region,236,Construction of Buildings,2005,3931,27993,$1622428584,$57958
Labor Market Area,New York City Region,237,Heavy and Civil Engineering Construction,2005,320,7309,$547851599,$74956
Labor Market Area,New York City Region,238,Specialty Trade Contractors,2005,6991,74701,$4244452997,$56819
Labor Market Area,New York City Region,31,Manufacturing,2005,7210,113384,$5478303089,$48316
Labor Market Area,New York City Region,311,Food Manufacturing,2005,877,13929,$435524455,$31267
Labor Market Area,New York City Region,312,Beverage & Tobacco Product Manufacturing,2005,28,814,$128588377,$157971
Labor Market Area,New York City Region,313,Textile Mills,2005,272,2851,$204714269,$71804
Labor Market Area,New York City Region,314,Textile Product Mills,2005,161,1778,$71264867,$40081
Labor Market Area,New York City Region,315,Apparel Manufacturing,2005,1823,28552,$1248831140,$43739
Labor Market Area,New York City Region,316,Leather and Allied Product Manufacturing,2005,81,995,$33748856,$33918
Labor Market Area,New York City Region,321,Wood Product Manufacturing,2005,83,1021,$45466140,$44531
Labor Market Area,New York City Region,322,Paper Manufacturing,2005,85,3086,$134046429,$43437
Labor Market Area,New York City Region,323,Printing and Related Support Activities,2005,898,11413,$639949582,$56072
Labor Market Area,New York City Region,324,Petroleum & Coal Products Manufacturing,2005,6,118,$8461980,$71712
Labor Market Area,New York City Region,325,Chemical Manufacturing,2005,118,5026,$491678454,$97827
Labor Market Area,New York City Region,326,Plastics & Rubber Products Manufacturing,2005,101,2609,$78430740,$30062
Labor Market Area,New York City Region,327,Nonmetallic Mineral Product Mfg,2005,136,1954,$87056529,$44553
Labor Market Area,New York City Region,331,Primary Metal Manufacturing,2005,44,463,$20395877,$44052
Labor Market Area,New York City Region,332,Fabricated Metal Product Manufacturing,2005,452,7927,$311447010,$39289
Labor Market Area,New York City Region,333,Machinery Manufacturing,2005,136,2343,$97766959,$41727
Labor Market Area,New York City Region,334,Computer and Electronic Product Mfg,2005,126,3649,$355711753,$97482
Labor Market Area,New York City Region,335,Electrical Equipment and Appliances,2005,76,2435,$149218923,$61281
Labor Market Area,New York City Region,336,Transportation Equipment Manufacturing,2005,66,2190,$105926722,$48368
Labor Market Area,New York City Region,337,Furniture and Related Product Mfg,2005,464,4701,$173762629,$36963
Labor Market Area,New York City Region,339,Miscellaneous Manufacturing,2005,1180,15533,$656311398,$42253
Labor Market Area,New York City Region,42,Wholesale Trade,2005,16106,137642,$9418634379,$68428
Labor Market Area,New York City Region,423,"Merchant Wholesalers, Durable Goods",2005,6432,55563,$3593989494,$64683
Labor Market Area,New York City Region,424,"Merchant Wholesalers, Nondurable Goods",2005,7010,70548,$4877580623,$69138
Labor Market Area,New York City Region,425,Electronic Markets and Agents/Brokers,2005,2664,11532,$947064262,$82125
Labor Market Area,New York City Region,44,Retail Trade,2005,28209,276605,$9049040336,$32715
Labor Market Area,New York City Region,441,Motor Vehicle and Parts Dealers,2005,866,11674,$553963366,$47453
Labor Market Area,New York City Region,442,Furniture and Home Furnishings Stores,2005,1418,10153,$370939861,$36535
Labor Market Area,New York City Region,443,Electronics and Appliance Stores,2005,1353,11876,$498035062,$41936
Labor Market Area,New York City Region,444,Building Material & Garden Supply Stores,2005,1148,13374,$462458216,$34579
Labor Market Area,New York City Region,445,Food and Beverage Stores,2005,7400,57751,$1290951029,$22354
Labor Market Area,New York City Region,446,Health and Personal Care Stores,2005,3145,32820,$1206279497,$36754
Labor Market Area,New York City Region,447,Gasoline Stations,2005,680,3048,$60449509,$19833
Labor Market Area,New York City Region,448,Clothing and Clothing Accessories Stores,2005,5580,64221,$2196096639,$34196
Labor Market Area,New York City Region,451,Sporting Goods/Hobby/Book/Music Stores,2005,1512,14443,$331758120,$22970
Labor Market Area,New York City Region,452,General Merchandise Stores,2005,1062,31060,$840892510,$27073
Labor Market Area,New York City Region,453,Miscellaneous Store Retailers,2005,3295,17319,$683706021,$39477
Labor Market Area,New York City Region,454,Nonstore Retailers,2005,752,8867,$553510506,$62424
Labor Market Area,New York City Region,48,Transportation and Warehousing,2005,4340,99781,$4266062958,$42754
Labor Market Area,New York City Region,481,Air Transportation,2005,160,23998,$1342504207,$55942
Labor Market Area,New York City Region,483,Water Transportation,2005,48,1485,$113885313,$76690
Labor Market Area,New York City Region,484,Truck Transportation,2005,1005,9222,$351684114,$38135
Labor Market Area,New York City Region,485,Transit and Ground Passenger Transport,2005,1274,25167,$848791158,$33726
Labor Market Area,New York City Region,486,Pipeline Transportation,2005,3,22,$1570822,$71401
Labor Market Area,New York City Region,487,Scenic and Sightseeing Transportation,2005,59,1425,$42417150,$29766
Labor Market Area,New York City Region,488,Support Activities for Transportation,2005,1085,16024,$725101703,$45251
Labor Market Area,New York City Region,492,Couriers and Messengers,2005,555,19391,$703234554,$36266
Labor Market Area,New York City Region,493,Warehousing and Storage,2005,150,3042,$136680351,$44931
Labor Market Area,New York City Region,51,Information,2005,5243,151185,$14060456258,$93002
Labor Market Area,New York City Region,511,Publishing Industries,2005,1120,52416,$5048226784,$96311
Labor Market Area,New York City Region,512,Motion Picture & Sound Recording Ind,2005,2114,27612,$2731735540,$98933
Labor Market Area,New York City Region,515,Broadcasting (except Internet),2005,201,26636,$2695308154,$101190
Labor Market Area,New York City Region,516,Internet Publishing and Broadcasting,2005,175,2431,$231962108,$95418
Labor Market Area,New York City Region,517,Telecommunications,2005,782,23921,$1997521804,$83505
Labor Market Area,New York City Region,518,"ISPs, Search Portals, & Data Processing",2005,630,7942,$789514443,$99410
Labor Market Area,New York City Region,519,Other Information Services,2005,221,10228,$566187425,$55357
Labor Market Area,New York City Region,52,Finance and Insurance,2005,10686,321753,$67216296354,$208907
Labor Market Area,New York City Region,522,Credit Intermediation & Related Activity,2005,3045,88969,$10904357713,$122564
Labor Market Area,New York City Region,523,Financial Investment & Related Activity,2005,4662,168000,$48828459274,$290646
